type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,p_i_or_b,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,customer_duration,target
two year,yes,mailed check,24.8,1424.2,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1693.1088975877776,0
one year,no,bank transfer (automatic),89.45,5692.65,male,0,yes,no,both,fiber optic,yes,yes,yes,no,no,no,yes,1936.654600285625,0
one year,no,bank transfer (automatic),18.85,867.3,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1357.9766001688618,0
one year,yes,electronic check,100.15,6413.65,female,0,no,yes,both,fiber optic,no,no,yes,no,yes,yes,yes,1872.7541528031088,1
one year,no,mailed check,105.95,1348.9,female,0,yes,no,both,fiber optic,yes,yes,no,yes,yes,yes,no,412.98594741001716,1
one year,yes,bank transfer (automatic),54.95,1916.0,female,0,yes,yes,both,dsl,yes,no,no,yes,no,no,no,1054.3245925161548,0
one year,yes,bank transfer (automatic),19.85,1039.45,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1600.5158329866642,0
month-to-month,yes,electronic check,80.25,144.55,male,0,no,no,both,fiber optic,no,no,no,no,yes,no,no,48.35436588008625,1
month-to-month,yes,electronic check,75.8,246.3,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,79.85173365244358,1
two year,yes,credit card (automatic),104.1,7447.7,male,1,yes,yes,both,fiber optic,yes,no,yes,yes,yes,yes,no,2178.1082333170743,0
month-to-month,no,electronic check,80.55,184.1,female,0,no,no,both,fiber optic,no,no,no,no,no,yes,no,47.059032509850596,1
month-to-month,yes,electronic check,99.5,1056.95,female,0,yes,no,both,fiber optic,no,no,yes,no,yes,yes,yes,320.69158552143836,1
month-to-month,yes,electronic check,84.85,3303.05,female,0,yes,yes,both,fiber optic,no,no,yes,yes,no,no,yes,1202.2647067905402,1
month-to-month,no,mailed check,44.4,44.4,male,0,no,no,both,dsl,no,no,no,no,no,no,no,16.373034723481332,1
month-to-month,yes,mailed check,53.55,53.55,female,0,yes,no,both,dsl,yes,yes,no,no,no,no,no,18.948213459557632,0
month-to-month,yes,credit card (automatic),69.4,571.45,female,0,no,yes,both,dsl,no,no,no,yes,yes,yes,no,262.1477367189546,0
month-to-month,yes,electronic check,94.75,2293.6,female,1,no,no,both,fiber optic,no,yes,no,no,yes,yes,no,684.5568873250505,1
month-to-month,no,mailed check,41.35,107.25,male,0,no,no,internet,dsl,yes,no,yes,yes,no,no,nan,77.2077651147772,0
month-to-month,yes,credit card (automatic),98.4,5149.5,female,0,yes,no,both,fiber optic,no,yes,no,no,yes,yes,yes,1601.298332026828,1
month-to-month,yes,mailed check,69.25,418.4,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,170.19758686406647,1
month-to-month,no,mailed check,19.75,19.75,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,15.845755759332135,1
two year,no,credit card (automatic),64.95,4523.25,male,0,yes,no,both,dsl,yes,yes,yes,yes,no,no,no,2119.5323462704,0
one year,yes,electronic check,19.95,253.8,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,381.4693209519338,0
one year,yes,credit card (automatic),95.15,6770.85,female,0,yes,yes,both,fiber optic,yes,yes,yes,yes,no,no,yes,2149.5956314203713,0
two year,no,mailed check,19.7,130.25,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,231.96879238726763,0
month-to-month,yes,bank transfer (automatic),99.85,1776.95,female,0,no,no,both,fiber optic,no,no,no,yes,yes,yes,yes,534.4904039566692,1
month-to-month,yes,mailed check,104.05,2470.1,male,0,no,no,both,fiber optic,no,no,yes,yes,yes,yes,yes,686.0282220297325,1
one year,yes,bank transfer (automatic),64.85,2010.95,male,0,no,no,both,dsl,no,no,no,no,yes,yes,no,960.1790249120947,0
month-to-month,yes,credit card (automatic),25.4,399.6,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,442.7960694834136,1
two year,no,mailed check,24.2,1618.2,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,1903.262718424834,0
two year,yes,mailed check,84.7,5878.9,male,0,yes,no,both,dsl,yes,yes,yes,yes,yes,yes,no,2089.7482785754687,0
month-to-month,yes,electronic check,50.35,1098.85,female,0,no,no,internet,dsl,no,yes,no,no,yes,yes,nan,656.5114655391942,0
month-to-month,yes,electronic check,103.45,3994.45,female,0,no,no,both,fiber optic,no,yes,yes,no,yes,yes,yes,1173.751735549231,1
month-to-month,no,mailed check,75.3,75.3,female,0,no,no,both,fiber optic,yes,no,no,no,no,no,no,15.820208747340015,1
two year,no,credit card (automatic),62.65,4375.8,male,0,yes,yes,both,dsl,yes,yes,yes,yes,no,no,no,2056.1725347158244,0
month-to-month,yes,mailed check,50.3,846.8,male,0,no,yes,both,dsl,yes,no,no,no,no,no,no,504.70925378324375,0
one year,yes,electronic check,80.55,3263.9,female,0,no,no,both,dsl,no,yes,yes,no,yes,yes,yes,1234.5891599895563,0
two year,yes,credit card (automatic),110.5,7069.25,female,0,no,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1934.3777915228554,0
month-to-month,yes,electronic check,60.25,170.5,female,0,no,no,both,dsl,no,no,no,no,yes,no,yes,78.97999044183844,0
month-to-month,yes,mailed check,53.75,648.65,male,0,no,no,both,dsl,no,yes,no,yes,no,no,no,351.39199608466305,0
month-to-month,no,electronic check,35.75,1022.5,male,0,no,no,internet,dsl,no,no,yes,yes,no,no,nan,777.0903718307234,0
month-to-month,no,electronic check,35.0,35.0,female,0,yes,no,internet,dsl,no,no,no,no,no,yes,nan,18.78144396032674,0
one year,no,mailed check,20.1,85.1,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,140.59428778534556,0
month-to-month,no,credit card (automatic),20.05,265.45,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,352.21523218995617,0
one year,no,credit card (automatic),59.9,3043.6,male,0,no,no,both,dsl,yes,no,no,yes,no,no,yes,1539.8310497207547,0
month-to-month,no,bank transfer (automatic),70.25,2868.05,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,1235.7443825865028,1
one year,yes,mailed check,84.8,1990.5,male,0,yes,yes,both,dsl,yes,no,yes,yes,yes,yes,yes,716.197997303371,0
two year,yes,credit card (automatic),85.35,5897.4,female,0,no,no,both,dsl,yes,no,yes,yes,yes,yes,yes,2088.687647818684,0
month-to-month,no,electronic check,60.35,1404.65,male,0,yes,yes,both,dsl,no,no,no,no,yes,no,yes,746.2520203736588,0
two year,yes,bank transfer (automatic),109.45,6144.55,female,0,yes,no,both,fiber optic,yes,yes,yes,no,yes,yes,yes,1752.839938145098,1
month-to-month,yes,electronic check,69.6,131.65,female,1,no,no,both,fiber optic,no,no,no,no,no,no,no,46.17497939458641,1
month-to-month,yes,bank transfer (automatic),20.2,20.2,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,16.117751578057543,1
two year,yes,bank transfer (automatic),19.7,1274.05,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1934.6404794332593,0
two year,yes,bank transfer (automatic),67.8,4804.65,male,0,yes,no,both,dsl,yes,yes,yes,yes,no,no,yes,2178.154886596665,0
month-to-month,no,bank transfer (automatic),19.25,617.65,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1053.758542641498,0
month-to-month,no,mailed check,25.7,734.6,female,1,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,839.4197502707045,0
two year,no,electronic check,58.6,3068.6,male,0,yes,no,both,dsl,yes,yes,yes,no,no,no,no,1662.7194289820718,0
month-to-month,no,electronic check,85.95,858.6,female,0,yes,yes,both,fiber optic,no,no,no,no,no,yes,yes,292.8837158211807,0
month-to-month,yes,bank transfer (automatic),72.75,2447.45,male,0,yes,no,both,dsl,yes,yes,yes,no,yes,no,yes,992.4984138535322,0
one year,no,electronic check,81.25,5567.55,male,0,no,no,both,dsl,yes,yes,yes,yes,yes,no,yes,1935.5680037439013,0
one year,yes,electronic check,58.75,1696.2,male,0,no,no,both,dsl,yes,yes,no,yes,no,no,no,869.869380348946,0
two year,no,bank transfer (automatic),20.5,759.35,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1053.6370301407478,0
one year,yes,bank transfer (automatic),86.2,3339.05,female,0,yes,no,both,fiber optic,no,yes,yes,yes,no,no,no,1234.2750478409605,0
month-to-month,yes,electronic check,75.7,554.05,female,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,no,no,201.9106938466618,0
one year,no,credit card (automatic),74.65,2308.6,female,0,no,no,both,dsl,yes,yes,yes,yes,yes,no,no,901.9472285021565,0
two year,yes,electronic check,59.55,4103.9,female,0,yes,yes,internet,dsl,no,yes,yes,yes,yes,yes,nan,2027.6240478477894,0
month-to-month,yes,mailed check,79.65,604.7,female,0,no,no,both,fiber optic,yes,no,no,no,no,no,yes,199.81287942747824,1
month-to-month,yes,electronic check,66.1,1912.15,female,0,no,no,both,dsl,yes,no,no,no,no,yes,yes,870.9776859629549,0
month-to-month,yes,mailed check,54.35,117.05,female,0,no,no,both,dsl,no,no,no,yes,no,no,yes,47.59404065139335,0
month-to-month,yes,mailed check,84.85,415.55,female,1,no,no,both,fiber optic,no,no,yes,no,yes,no,no,140.51586734788728,1
two year,no,credit card (automatic),19.4,1363.25,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,2177.5395116171467,0
month-to-month,yes,electronic check,84.7,392.5,female,1,no,no,both,fiber optic,no,yes,no,no,yes,no,no,139.9453586192355,0
month-to-month,yes,electronic check,90.85,90.85,male,0,no,yes,both,fiber optic,no,no,no,no,yes,yes,no,15.454724006878468,1
month-to-month,no,electronic check,79.85,797.25,male,0,no,no,both,fiber optic,no,yes,no,no,no,no,yes,291.3580566861675,0
month-to-month,yes,electronic check,35.0,553.0,female,0,no,yes,internet,dsl,no,no,no,no,no,yes,nan,536.2521743784775,1
two year,no,credit card (automatic),109.7,7898.45,male,1,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,2178.482867067247,0
one year,yes,bank transfer (automatic),24.75,1342.15,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,1632.9493941483063,0
two year,yes,mailed check,24.6,973.95,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,1205.0945656252386,0
month-to-month,no,bank transfer (automatic),44.15,44.15,female,0,no,no,both,dsl,no,no,no,no,no,no,no,18.125645905287413,0
month-to-month,yes,electronic check,31.2,926.2,female,0,no,no,internet,dsl,no,no,no,yes,no,no,nan,870.8023864218281,0
month-to-month,yes,bank transfer (automatic),55.7,335.65,male,0,no,no,both,dsl,yes,yes,no,no,no,no,no,170.77118311171498,0
month-to-month,yes,bank transfer (automatic),80.1,679.3,female,0,no,no,both,fiber optic,no,no,no,no,yes,no,no,230.04843191293568,1
month-to-month,yes,electronic check,70.0,70.0,male,0,yes,yes,both,fiber optic,no,no,no,no,no,no,no,16.852613660888128,1
month-to-month,no,bank transfer (automatic),62.45,2045.55,female,0,yes,yes,both,dsl,no,yes,yes,no,no,no,yes,960.5317742260848,0
month-to-month,no,electronic check,85.35,2896.6,female,0,no,no,both,fiber optic,no,no,no,no,yes,no,yes,1021.2043763093002,0
month-to-month,yes,electronic check,76.65,1313.55,male,0,no,no,both,fiber optic,no,no,yes,no,no,no,no,504.343575396197,1
month-to-month,no,mailed check,74.65,544.55,male,0,no,no,both,fiber optic,no,no,yes,no,no,no,no,200.23714060142882,1
month-to-month,yes,electronic check,103.95,2964.8,male,1,yes,yes,both,fiber optic,no,no,yes,no,yes,yes,yes,868.3075544691233,0
one year,yes,mailed check,20.4,84.75,female,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,110.62869935616382,0
month-to-month,yes,electronic check,99.45,1200.15,male,1,no,no,both,fiber optic,no,no,yes,no,yes,yes,yes,351.7779771793969,1
one year,no,mailed check,74.05,872.65,female,0,no,no,both,dsl,no,no,no,yes,yes,yes,yes,350.05309282467897,1
month-to-month,no,mailed check,71.1,71.1,female,0,no,no,both,fiber optic,no,no,no,no,no,no,no,16.12995606730871,1
two year,yes,credit card (automatic),85.9,6110.75,female,0,yes,yes,both,dsl,yes,no,yes,yes,yes,yes,yes,2177.604196373395,0
one year,no,bank transfer (automatic),84.2,4299.75,male,0,yes,yes,both,fiber optic,no,yes,no,yes,no,no,yes,1539.2563652580293,0
two year,no,credit card (automatic),53.35,3090.05,male,0,no,no,internet,dsl,no,no,yes,yes,yes,yes,nan,1724.3110180665149,0
month-to-month,yes,electronic check,31.05,347.25,female,0,no,no,internet,dsl,no,yes,no,no,no,no,nan,381.53012788806916,1
month-to-month,no,mailed check,19.95,107.05,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,138.93370231120832,0
month-to-month,yes,electronic check,94.45,2653.65,male,1,yes,no,both,fiber optic,no,no,no,no,yes,yes,yes,869.7335648723313,1
one year,yes,electronic check,97.95,5867.0,male,1,yes,no,both,fiber optic,no,yes,yes,no,yes,yes,no,1813.153679438002,0
month-to-month,yes,bank transfer (automatic),106.15,4512.7,male,0,yes,no,both,fiber optic,no,no,yes,yes,yes,yes,yes,1265.242708261333,1
month-to-month,no,bank transfer (automatic),81.75,2028.8,male,0,no,no,both,dsl,yes,yes,yes,yes,no,yes,yes,746.0310107374854,0
month-to-month,no,electronic check,20.0,185.4,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,292.90087351895,0
month-to-month,yes,mailed check,20.7,137.6,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,232.02468282974905,0
month-to-month,no,electronic check,74.5,217.45,male,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,78.12164401946893,0
one year,no,mailed check,99.1,3877.95,female,1,yes,no,both,fiber optic,yes,yes,no,no,yes,yes,no,1173.246685919928,0
one year,no,credit card (automatic),100.3,5614.45,male,0,yes,no,both,fiber optic,no,yes,no,no,yes,yes,yes,1689.1865957414402,1
month-to-month,no,mailed check,19.85,178.8,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,261.8591298082236,0
month-to-month,no,mailed check,45.65,985.05,male,0,no,yes,both,dsl,no,no,no,no,no,no,no,626.7726548201425,0
one year,no,bank transfer (automatic),20.0,860.85,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1326.9810757056766,0
two year,no,bank transfer (automatic),74.4,5360.75,male,1,yes,no,both,dsl,yes,yes,yes,yes,yes,no,no,2176.9904996331315,0
month-to-month,yes,electronic check,75.9,75.9,male,0,no,no,both,fiber optic,no,no,no,yes,no,no,no,17.65504559674276,1
month-to-month,yes,credit card (automatic),78.3,1033.95,male,0,no,yes,both,fiber optic,no,no,no,no,yes,no,no,381.283645702304,0
month-to-month,no,mailed check,51.25,51.25,male,0,no,no,both,dsl,yes,no,no,no,no,no,no,18.133607019245353,0
two year,yes,credit card (automatic),110.65,8065.65,female,0,yes,no,both,fiber optic,yes,yes,yes,no,yes,yes,yes,2176.709610936418,0
month-to-month,no,mailed check,20.5,20.5,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,17.127011942654626,0
one year,yes,bank transfer (automatic),78.95,2647.2,male,0,yes,yes,both,fiber optic,no,no,no,no,no,yes,no,1021.0984369149871,0
two year,no,electronic check,20.25,835.5,male,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,1266.7372307267735,0
month-to-month,yes,electronic check,98.35,4889.2,female,0,yes,yes,both,fiber optic,no,yes,no,no,yes,yes,yes,1479.344729900483,0
two year,no,mailed check,23.85,625.65,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,687.6590621855356,0
month-to-month,no,credit card (automatic),55.8,300.4,female,0,no,no,both,dsl,yes,no,yes,no,no,no,no,138.80294545790306,0
month-to-month,no,mailed check,20.7,73.05,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,109.33715357395731,0
month-to-month,yes,electronic check,85.75,470.95,female,0,yes,yes,both,fiber optic,no,no,no,yes,yes,no,no,140.41929234606957,1
one year,no,bank transfer (automatic),51.0,2264.5,female,0,yes,yes,internet,dsl,no,yes,yes,yes,no,yes,nan,1356.8030045951346,0
month-to-month,no,mailed check,74.15,1387.0,male,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,534.5971392513593,0
one year,no,bank transfer (automatic),20.55,654.55,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,962.3595660801689,0
month-to-month,yes,electronic check,65.45,937.6,male,0,yes,yes,both,dsl,yes,yes,no,no,yes,no,no,411.2227845605141,1
two year,yes,mailed check,111.1,6555.2,male,0,yes,yes,both,fiber optic,yes,yes,no,yes,yes,yes,yes,1784.9672545195642,0
month-to-month,no,electronic check,56.75,245.15,male,0,no,no,both,dsl,yes,no,yes,no,no,no,no,108.0088963340411,0
month-to-month,yes,bank transfer (automatic),58.75,3437.45,female,0,yes,no,internet,dsl,yes,yes,yes,no,yes,yes,nan,1722.8943742260542,0
month-to-month,yes,electronic check,19.95,82.9,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,108.29554460409726,0
one year,yes,bank transfer (automatic),109.4,6252.7,female,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,1724.995259223613,0
month-to-month,yes,mailed check,20.05,39.25,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,49.970051196156845,0
two year,no,bank transfer (automatic),60.25,4055.5,male,0,yes,no,internet,dsl,yes,no,yes,yes,yes,yes,nan,2089.9839833486394,0
month-to-month,no,mailed check,20.05,83.3,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,109.99177578400025,0
month-to-month,yes,electronic check,55.0,3094.05,female,1,no,no,internet,dsl,no,yes,yes,no,yes,yes,nan,1724.6364321109038,0
one year,yes,electronic check,110.0,4874.8,female,1,no,no,both,fiber optic,yes,yes,yes,no,yes,yes,yes,1384.2983373272862,1
one year,yes,mailed check,103.7,3467.0,female,0,yes,yes,both,fiber optic,yes,no,yes,no,yes,yes,yes,989.5727195346143,1
month-to-month,yes,credit card (automatic),86.65,2208.75,male,0,no,no,both,fiber optic,yes,yes,no,no,no,no,yes,777.2371991529466,0
one year,yes,electronic check,86.9,4939.25,male,0,no,no,both,fiber optic,no,no,no,no,yes,no,yes,1724.4978144191864,0
one year,no,bank transfer (automatic),64.05,3902.6,male,1,yes,no,both,dsl,no,yes,no,no,no,yes,yes,1842.7917419376583,0
month-to-month,yes,electronic check,75.4,1189.4,male,0,yes,no,both,fiber optic,no,no,no,no,no,no,yes,473.5860757442001,0
two year,no,bank transfer (automatic),52.85,1498.65,female,0,no,no,both,dsl,yes,yes,no,no,no,no,no,807.6204059962139,0
two year,no,bank transfer (automatic),56.75,1304.85,male,0,no,no,internet,dsl,no,no,yes,yes,yes,yes,nan,657.1349972684624,0
one year,yes,electronic check,79.2,943.85,female,1,yes,no,both,dsl,yes,no,yes,yes,yes,yes,no,351.64710268700816,0
two year,yes,credit card (automatic),90.45,5229.8,male,0,no,no,both,fiber optic,no,no,no,yes,yes,no,yes,1722.0003568735033,0
one year,no,mailed check,20.25,439.75,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,716.9031902598086,0
two year,yes,electronic check,110.15,7998.8,female,0,yes,no,both,fiber optic,no,yes,yes,yes,yes,yes,yes,2176.5708404920506,0
two year,no,mailed check,20.5,290.55,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,475.8178592603608,0
month-to-month,yes,electronic check,40.6,1494.5,male,0,no,no,internet,dsl,no,no,no,yes,no,yes,nan,1172.2859586152458,0
two year,no,credit card (automatic),86.65,6094.25,male,0,yes,no,both,dsl,yes,no,yes,yes,yes,yes,yes,2176.5259955251017,0
two year,no,mailed check,19.75,284.35,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,473.6878485516436,0
one year,yes,electronic check,69.0,2441.7,male,0,yes,no,both,dsl,no,yes,no,yes,yes,no,yes,1053.031154756342,0
one year,yes,credit card (automatic),94.95,5791.85,male,0,yes,yes,both,fiber optic,yes,yes,no,no,yes,no,yes,1873.984806726103,0
month-to-month,no,bank transfer (automatic),30.5,30.5,female,0,yes,yes,internet,dsl,yes,no,no,no,no,no,nan,17.53483511735258,1
month-to-month,yes,credit card (automatic),57.15,2250.65,female,1,no,no,both,dsl,yes,yes,no,no,no,no,no,1143.5195321339404,1
two year,no,credit card (automatic),89.75,6595.9,female,0,yes,yes,both,dsl,yes,yes,yes,yes,yes,yes,yes,2176.5584262760044,0
month-to-month,no,electronic check,19.55,61.05,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,no,79.21001860948371,0
two year,no,mailed check,19.85,nan,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,-14.63369967921591,0
two year,yes,credit card (automatic),84.8,6141.65,male,1,yes,no,both,fiber optic,yes,yes,no,yes,no,no,no,2178.9320345510096,0
two year,no,mailed check,35.1,770.4,female,0,no,no,internet,dsl,yes,no,no,yes,no,no,nan,626.1438437887975,0
month-to-month,yes,electronic check,44.95,996.85,female,0,no,no,internet,dsl,no,no,no,no,yes,yes,nan,688.2913023419568,0
month-to-month,yes,electronic check,99.4,1742.95,male,0,yes,no,both,fiber optic,yes,no,no,no,yes,yes,yes,535.6013247835306,1
two year,no,electronic check,24.55,1719.15,female,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,2149.3167566046463,0
one year,yes,mailed check,94.05,633.45,female,0,no,no,both,fiber optic,no,yes,no,no,yes,yes,no,202.61928442699465,0
month-to-month,yes,electronic check,69.55,521.35,male,0,no,no,both,fiber optic,no,no,no,no,no,no,no,201.0222321419649,0
month-to-month,yes,credit card (automatic),84.9,5785.65,male,1,yes,no,both,fiber optic,yes,yes,no,no,no,no,yes,2089.267860854517,0
month-to-month,yes,credit card (automatic),86.55,2697.4,female,0,no,yes,both,fiber optic,no,no,no,no,yes,no,yes,931.1552411200405,1
month-to-month,yes,electronic check,78.85,1772.25,male,1,yes,no,both,fiber optic,yes,no,no,no,no,no,yes,715.4902117539903,1
two year,yes,bank transfer (automatic),20.1,1087.7,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1723.8404419668022,0
month-to-month,yes,mailed check,31.0,95.05,female,0,yes,yes,internet,dsl,no,no,no,yes,no,no,nan,78.70252640897651,1
month-to-month,yes,electronic check,69.6,69.6,female,1,no,no,both,fiber optic,no,no,no,no,no,no,no,16.635008419134824,1
two year,yes,bank transfer (automatic),75.5,5212.65,female,1,no,no,both,dsl,no,yes,yes,yes,yes,no,yes,2119.140954921675,0
two year,yes,credit card (automatic),20.1,1326.25,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,2176.3734175583186,0
month-to-month,no,mailed check,75.0,209.1,male,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,78.58026337140201,1
month-to-month,no,electronic check,51.4,96.8,female,0,no,no,internet,dsl,no,yes,no,no,yes,yes,nan,47.131730267349376,0
two year,no,mailed check,38.55,280.0,male,0,yes,yes,internet,dsl,yes,yes,yes,no,no,no,nan,201.81364672165023,0
month-to-month,yes,electronic check,20.55,469.85,female,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,656.5695317957641,0
one year,no,mailed check,20.25,854.9,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1265.9535187203621,0
one year,yes,credit card (automatic),76.9,5023.0,male,0,no,no,both,dsl,yes,yes,yes,no,no,yes,yes,2058.386651557753,0
two year,yes,credit card (automatic),113.65,8124.2,female,0,yes,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,2176.980239801321,0
two year,no,mailed check,19.95,1189.9,male,0,no,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1812.4271547070045,0
month-to-month,yes,mailed check,88.9,454.15,female,0,yes,no,both,fiber optic,yes,no,yes,no,no,yes,no,138.07331970177654,1
month-to-month,yes,bank transfer (automatic),79.65,251.75,male,0,yes,no,both,fiber optic,no,no,no,yes,no,no,yes,79.44085046597155,1
month-to-month,yes,electronic check,74.9,490.55,male,0,no,no,both,fiber optic,no,no,yes,no,no,no,no,201.9583169965735,0
one year,yes,credit card (automatic),105.4,5643.4,male,0,no,no,both,fiber optic,yes,yes,no,yes,yes,yes,no,1630.6357883465473,1
month-to-month,yes,electronic check,76.05,2227.8,female,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,930.9016328810147,0
month-to-month,yes,electronic check,105.2,4400.75,female,0,no,no,both,fiber optic,yes,no,yes,no,yes,yes,yes,1263.0163934433108,1
month-to-month,yes,electronic check,88.45,370.65,male,0,no,no,both,fiber optic,no,no,no,no,yes,yes,no,109.83660216714603,1
month-to-month,yes,electronic check,97.05,4385.05,female,1,no,no,both,fiber optic,yes,yes,no,yes,yes,no,yes,1357.5473200006936,0
two year,yes,bank transfer (automatic),19.35,1292.65,female,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,2057.8099514319415,0
month-to-month,yes,credit card (automatic),84.75,2613.4,female,0,no,no,both,fiber optic,yes,no,yes,no,no,no,yes,932.7348214117193,0
month-to-month,yes,mailed check,45.7,45.7,male,0,no,no,both,dsl,no,no,no,no,no,no,no,18.31639027134591,1
two year,no,credit card (automatic),45.2,2460.55,male,0,no,no,internet,dsl,yes,no,no,yes,yes,no,nan,1630.3110523163934,0
two year,yes,mailed check,25.15,412.6,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,yes,504.0608819162444,0
month-to-month,yes,electronic check,95.5,829.1,male,0,no,no,both,fiber optic,no,no,no,no,yes,yes,yes,261.86618834958995,1
two year,no,mailed check,19.5,1147.85,male,0,yes,yes,phone,nan,nan,nan,nan,nan,nan,nan,no,1783.9021276551748,0
month-to-month,no,mailed check,44.4,44.4,female,0,no,no,both,dsl,no,no,no,no,no,no,no,17.76756736623739,1
month-to-month,yes,electronic check,84.3,3588.4,female,0,yes,no,both,fiber optic,no,no,yes,yes,no,no,yes,1264.129387486263,1
two year,no,bank transfer (automatic),25.7,251.6,male,0,no,no,phone,nan,nan,nan,nan,nan,nan,nan,yes,293.2655265519303,0
one year,yes,electronic check,95.5,6153.85,female,0,no,no,both,fiber optic,no,yes,yes,no,yes,no,yes,1966.745260465809,0
month-to-month,no,bank transfer (automatic),19.4,641.15,female,0,yes,no,phone,nan,nan,nan,nan,nan,nan,nan,no,960.1880115549003,0
one year,no,electronic check,90.95,5453.4,male,0,yes,yes,both,fiber optic,no,yes,yes,no,yes,no,no,1811.711652722623,1
month-to-month,yes,electronic check,55.25,55.25,male,0,no,no,both,dsl,no,no,no,no,no,yes,no,17.380528830784364,0
two year,yes,credit card (automatic),111.95,7795.95,female,0,no,no,both,fiber optic,yes,yes,yes,yes,yes,yes,yes,2117.702730580185,0
one year,no,electronic check,67.45,2443.3,male,0,no,no,both,dsl,yes,yes,yes,yes,no,no,yes,1112.083376715545,0
month-to-month,yes,mailed check,45.0,96.45,male,0,no,no,both,dsl,no,no,no,no,no,no,no,48.013927880865666,1
month-to-month,no,bank transfer (automatic),80.65,4807.35,male,0,no,no,both,fiber optic,no,no,no,yes,no,no,yes,1754.6313453069681,0
two year,no,bank transfer (automatic),84.6,5706.2,male,0,yes,no,both,fiber optic,yes,yes,no,yes,no,no,no,2118.8853773644723,0
month-to-month,yes,electronic check,74.4,229.55,male,0,no,no,both,fiber optic,no,no,no,no,no,no,yes,78.6906707439379,1
two year,yes,bank transfer (automatic),85.15,6316.2,male,0,yes,no,both,dsl,no,yes,yes,yes,yes,yes,yes,2177.5437187678876,0
